,NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op)
334,1,1,194,1073741824,132,88,204800,119.432
335,1,1,194,1073741824,132,88,9437184,110.209
336,1,1,317,10485760,20,14,204800,1.411
337,1,1,317,10485760,20,14,9437184,1.411
338,1,1,317,10485760,20,39,204800,3.909
339,1,1,317,10485760,20,39,9437184,4.027
340,1,1,317,10485760,20,64,204800,6.428999999999999
341,1,1,317,10485760,20,64,9437184,6.446000000000001
342,1,1,317,10485760,20,88,204800,9.059
343,1,1,317,10485760,20,88,9437184,8.847000000000001
344,1,1,317,10485760,58,14,204800,3.593
345,1,1,317,10485760,58,14,9437184,3.592
346,1,1,317,10485760,58,39,204800,9.993
347,1,1,317,10485760,58,39,9437184,9.914
348,1,1,317,10485760,58,64,204800,16.743
349,1,1,317,10485760,58,64,9437184,16.364
350,1,1,317,10485760,58,88,204800,22.311999999999998
351,1,1,317,10485760,58,88,9437184,22.511
352,1,1,317,10485760,95,14,204800,5.468999999999999
353,1,1,317,10485760,95,14,9437184,5.608
354,1,1,317,10485760,95,39,204800,14.925
355,1,1,317,10485760,95,39,9437184,15.110999999999999
356,1,1,317,10485760,95,64,204800,23.06
357,1,1,317,10485760,95,64,9437184,22.590999999999998
358,1,1,317,10485760,95,88,204800,29.68
359,1,1,317,10485760,95,88,9437184,29.730999999999998
360,1,1,317,10485760,132,14,204800,7.285
361,1,1,317,10485760,132,14,9437184,7.438
362,1,1,317,10485760,132,39,204800,20.162
363,1,1,317,10485760,132,39,9437184,20.320999999999998
364,1,1,317,10485760,132,64,204800,32.3
365,1,1,317,10485760,132,64,9437184,31.631
366,1,1,317,10485760,132,88,204800,40.937
367,1,1,317,10485760,132,88,9437184,42.402
368,1,1,317,1073741824,20,14,204800,2.1919999999999997
369,1,1,317,1073741824,20,14,9437184,2.057
370,1,1,317,1073741824,20,39,204800,5.995
371,1,1,317,1073741824,20,39,9437184,5.897
372,1,1,317,1073741824,20,64,204800,10.038
373,1,1,317,1073741824,20,64,9437184,9.767999999999999
374,1,1,317,1073741824,20,88,204800,13.43
375,1,1,317,1073741824,20,88,9437184,13.481
376,1,1,317,1073741824,58,14,204800,5.669
377,1,1,317,1073741824,58,14,9437184,5.832999999999999
378,1,1,317,1073741824,58,39,204800,15.569
379,1,1,317,1073741824,58,39,9437184,15.807
380,1,1,317,1073741824,58,64,204800,24.058000000000003
381,1,1,317,1073741824,58,64,9437184,24.82
382,1,1,317,1073741824,58,88,204800,31.909000000000002
383,1,1,317,1073741824,58,88,9437184,33.931999999999995
384,1,1,317,1073741824,95,14,204800,8.752
385,1,1,317,1073741824,95,14,9437184,8.767000000000001
386,1,1,317,1073741824,95,39,204800,22.958000000000002
387,1,1,317,1073741824,95,39,9437184,22.629
388,1,1,317,1073741824,95,64,204800,37.961
389,1,1,317,1073741824,95,64,9437184,37.055
390,1,1,317,1073741824,95,88,204800,46.685
391,1,1,317,1073741824,95,88,9437184,49.193000000000005
392,1,1,317,1073741824,132,14,204800,12.244000000000002
393,1,1,317,1073741824,132,14,9437184,11.835999999999999
394,1,1,317,1073741824,132,39,204800,31.263
395,1,1,317,1073741824,132,39,9437184,30.268
396,1,1,317,1073741824,132,64,204800,47.648
397,1,1,317,1073741824,132,64,9437184,49.891999999999996
398,1,1,317,1073741824,132,88,204800,60.336000000000006
399,1,1,317,1073741824,132,88,9437184,68.596
400,1,1,439,10485760,20,14,204800,1.526
401,1,1,439,10485760,20,14,9437184,1.4369999999999998
402,1,1,439,10485760,20,39,204800,3.923
403,1,1,439,10485760,20,39,9437184,4.019
404,1,1,439,10485760,20,64,204800,6.412000000000001
405,1,1,439,10485760,20,64,9437184,6.724
406,1,1,439,10485760,20,88,204800,8.837
407,1,1,439,10485760,20,88,9437184,8.866
408,1,1,439,10485760,58,14,204800,3.6719999999999997
409,1,1,439,10485760,58,14,9437184,3.58
410,1,1,439,10485760,58,39,204800,9.943999999999999
411,1,1,439,10485760,58,39,9437184,10.269
412,1,1,439,10485760,58,64,204800,16.643
413,1,1,439,10485760,58,64,9437184,16.399
414,1,1,439,10485760,58,88,204800,22.590999999999998
415,1,1,439,10485760,58,88,9437184,23.107
416,1,1,439,10485760,95,14,204800,5.591
417,1,1,439,10485760,95,14,9437184,5.306
418,1,1,439,10485760,95,39,204800,14.492
419,1,1,439,10485760,95,39,9437184,15.249
420,1,1,439,10485760,95,64,204800,23.698
421,1,1,439,10485760,95,64,9437184,23.723000000000003
